No. Responden,A.1,A.2,A.3,A.4,A.5,A.6,B.1,B.2,C.1,C.2,C.3,C.4,D.1,D.2,D.3,D.4,D.5,E.1,E.2,E.3,F.1,F.2,F.3,F.4,F.5,F.6,F.7,F.8,Kepuasan Hidup
187,1,47,1,5,1,4,4,5,2,3,5,2.50,3,3,4,3500000,250.00,4,4,3,4,2,2,3,2,2,4,3,Sangat Tidak Puas
188,2,45,1,6,1,1,4,5,2,3,5,2.50,3,3,4,3500000,250.00,4,4,3,4,4,4,3,3,3,3,4,Sangat Tidak Puas
189,1,50,1,3,1,3,4,5,4,1,5,1.25,3,4,4,4000000,285.71,4,4,4,3,2,2,2,2,2,3,4,Biasa
190,2,40,1,4,1,1,4,4,2,2,4,2.00,4,5,4,3000000,214.29,4,5,4,4,2,2,2,3,2,3,3,Sangat Tidak Puas
191,2,31,1,3,1,5,4,2,2,1,3,1.50,3,2,3,1500000,107.14,4,2,3,5,4,3,2,3,2,4,3,Sangat Tidak Puas
192,1,29,1,3,1,5,5,4,2,1,3,1.50,3,4,4,2200000,157.14,5,4,3,4,4,4,4,4,4,4,4,Sangat Tidak Puas
193,2,25,1,3,1,5,4,5,2,2,4,2.00,4,5,4,1500000,107.14,5,4,5,4,4,5,4,4,5,4,4,Sangat Tidak Puas
194,2,28,1,3,1,4,4,5,2,2,4,2.00,4,5,4,1000000,71.43,4,3,4,4,4,5,5,4,5,4,5,Sangat Tidak Puas
195,2,42,1,4,1,3,4,5,2,2,4,2.00,4,4,5,2000000,142.86,4,4,5,4,4,5,4,5,4,5,4,Sangat Tidak Puas
196,2,19,2,3,1,3,4,4,1,0,1,1.00,4,4,5,2300000,164.29,4,3,2,4,3,3,2,3,4,4,5,Sangat Tidak Puas
197,2,34,1,5,1,1,4,4,2,2,4,2.00,4,4,5,2500000,178.57,5,4,4,4,4,5,4,5,4,5,4,Sangat Tidak Puas
198,1,25,1,3,1,2,4,5,2,0,2,1.00,4,4,5,2800000,200.00,4,4,5,4,4,4,5,4,4,5,5,Sangat Tidak Puas
199,1,28,1,2,1,5,4,4,1,2,3,3.00,3,3,3,1700000,121.43,3,3,3,3,3,3,3,3,3,3,3,Biasa
200,1,30,1,2,1,4,3,4,1,2,3,3.00,3,3,4,2500000,178.57,3,3,3,3,3,3,3,3,3,3,2,Biasa
201,1,40,1,2,1,4,3,4,1,2,3,3.00,3,2,3,3000000,214.29,3,3,3,3,3,3,3,4,4,3,3,Biasa
202,1,33,1,3,1,3,3,3,2,1,3,1.50,3,3,3,2000000,142.86,3,4,3,3,3,3,3,3,4,3,3,Biasa
203,1,39,1,3,1,2,4,4,2,1,3,1.50,4,4,4,5000000,357.14,4,4,4,4,3,3,3,3,3,2,2,Sangat Tidak Puas
204,2,44,1,3,1,3,5,4,2,3,5,2.50,5,4,4,4000000,285.71,4,4,3,5,4,5,4,4,4,5,4,Sangat Tidak Puas
205,1,42,1,2,1,3,3,3,1,3,4,4.00,3,3,4,3000000,214.29,3,3,3,3,3,3,3,3,4,4,4,Biasa
206,1,29,1,3,1,3,4,5,1,2,3,3.00,4,4,5,2500000,178.57,4,4,5,4,4,5,4,4,4,4,4,Sangat Tidak Puas
207,1,38,1,5,1,1,4,5,1,3,4,4.00,4,3,4,3000000,214.29,4,4,3,4,2,2,2,3,3,3,3,Sangat Tidak Puas
208,1,35,1,3,1,5,4,3,2,1,3,1.50,4,3,2,1500000,107.14,4,3,4,4,3,3,4,2,3,4,2,Sangat Tidak Puas
209,1,38,1,5,1,3,4,4,2,0,2,1.00,4,4,4,1500000,107.14,4,4,4,2,3,3,3,3,3,3,3,Sangat Puas
210,1,49,1,5,1,3,4,4,1,3,4,4.00,4,4,4,3000000,214.29,4,4,4,3,3,2,3,2,3,2,3,Biasa
211,1,30,1,3,1,5,4,4,2,1,3,1.50,4,4,4,1000000,71.43,4,4,4,3,3,2,3,3,2,2,3,Biasa
212,1,43,1,5,1,1,4,4,2,1,3,1.50,4,5,4,1500000,107.14,4,4,4,3,3,2,2,3,3,2,2,Biasa
213,1,45,1,5,1,3,5,4,1,4,5,5.00,5,5,2,3500000,250.00,5,5,3,5,2,1,1,1,3,3,3,Sangat Tidak Puas
214,1,48,1,3,1,4,3,3,2,3,5,2.50,4,3,3,10000000,714.29,5,4,3,3,3,3,3,4,3,3,3,Biasa
215,1,50,1,3,1,1,5,5,2,3,5,2.50,5,5,5,1500000,107.14,3,5,3,4,4,3,3,3,2,3,3,Sangat Tidak Puas
216,2,52,1,5,1,1,5,5,2,3,5,2.50,5,4,5,3000000,214.29,5,4,4,2,3,2,3,3,3,2,3,Sangat Puas
217,1,30,2,3,1,3,5,4,3,0,3,1.00,4,4,4,2000000,142.86,4,5,4,2,3,3,3,3,3,3,2,Sangat Puas
218,1,40,1,2,5,3,3,4,2,1,3,1.50,3,3,4,3000000,214.29,4,4,4,3,3,3,3,4,4,3,3,Biasa
219,1,43,1,5,1,4,4,3,1,5,6,6.00,4,3,5,4000000,285.71,4,4,5,4,4,2,3,4,2,2,3,Sangat Tidak Puas
220,1,35,1,3,1,4,3,4,1,3,4,4.00,3,3,4,3000000,214.29,4,4,3,3,3,3,3,4,3,4,4,Biasa
221,1,50,1,3,1,4,4,5,1,2,3,3.00,4,5,4,2600000,185.71,4,4,4,3,2,3,3,3,2,3,2,Biasa
222,1,49,1,2,1,1,5,4,2,3,5,2.50,5,3,3,2500000,178.57,3,4,3,4,3,4,3,3,3,3,3,Sangat Tidak Puas
223,1,45,1,3,1,4,4,5,1,2,3,3.00,4,5,4,3600000,257.14,4,4,5,3,3,3,3,2,3,2,3,Biasa
224,1,50,1,3,1,2,5,5,3,1,4,1.33,4,4,4,2000000,142.86,4,4,5,4,2,2,2,3,3,2,3,Sangat Tidak Puas
225,2,49,1,5,1,5,5,5,3,1,4,1.33,4,5,4,2000000,142.86,4,5,4,4,2,2,2,3,3,2,3,Sangat Tidak Puas
226,1,35,1,5,1,3,4,5,2,3,5,2.50,4,4,4,2000000,142.86,5,4,5,3,2,3,2,3,2,3,2,Biasa
227,1,45,1,3,1,4,4,5,1,3,4,4.00,5,4,5,3600000,257.14,4,5,4,3,4,3,4,2,3,4,3,Biasa
228,1,40,1,2,1,5,4,4,2,2,4,2.00,4,4,4,1600000,114.29,4,4,4,3,2,3,2,3,2,3,2,Biasa
229,1,53,1,3,1,1,5,5,2,4,6,3.00,4,4,4,3500000,250.00,5,5,5,5,2,2,3,2,2,2,2,Sangat Tidak Puas
230,2,27,2,5,1,3,4,4,2,1,3,1.50,4,4,3,1000000,71.43,4,4,4,4,5,3,4,5,4,3,4,Sangat Tidak Puas
231,1,52,1,3,1,1,5,5,2,3,5,2.50,5,4,5,3000000,214.29,5,4,4,4,3,2,3,3,3,2,3,Sangat Tidak Puas
232,2,49,1,3,1,1,4,4,2,4,6,3.00,2,4,2,2600000,185.71,4,5,4,4,4,4,4,4,4,3,4,Sangat Tidak Puas
233,1,51,1,3,1,1,4,4,2,4,6,3.00,2,4,3,2600000,185.71,2,3,4,4,4,4,4,4,4,3,4,Sangat Tidak Puas
234,2,43,1,3,1,4,5,5,2,4,6,3.00,4,4,4,2500000,178.57,5,4,4,4,2,2,2,2,3,3,2,Sangat Tidak Puas
235,1,48,1,1,1,1,5,5,2,4,6,3.00,4,4,4,2500000,178.57,5,4,4,4,2,2,2,2,3,3,2,Sangat Tidak Puas
236,2,38,4,3,1,4,5,3,1,1,2,2.00,3,3,4,1000000,71.43,3,4,3,3,3,4,3,3,3,3,4,Biasa
237,2,54,1,4,1,1,4,4,2,3,5,2.50,2,2,4,2000000,142.86,4,4,4,2,2,2,2,2,2,2,2,Sangat Puas
238,2,56,1,5,1,4,4,3,2,4,6,3.00,5,3,4,1500000,107.14,3,3,3,5,3,4,3,5,3,5,3,Sangat Tidak Puas
239,1,45,1,3,1,5,4,4,1,4,5,5.00,4,4,4,2000000,142.86,4,4,5,3,4,3,2,3,3,3,3,Biasa
240,1,54,1,5,1,1,5,5,3,3,6,2.00,4,5,4,4000000,285.71,5,4,5,3,2,3,3,2,3,2,3,Biasa
241,2,48,1,5,1,1,5,5,3,3,6,2.00,4,5,4,4000000,285.71,5,4,5,3,2,3,2,3,2,3,2,Biasa
242,2,28,1,5,5,3,3,3,2,3,5,2.50,3,3,3,2000000,142.86,4,3,3,3,4,3,3,3,3,2,3,Biasa
243,1,50,1,1,1,4,4,3,1,3,4,4.00,3,3,4,5000000,357.14,4,4,4,3,3,3,3,4,4,4,4,Biasa
244,1,40,1,3,1,5,3,3,2,2,4,2.00,3,3,3,1500000,107.14,3,3,3,4,3,4,4,3,3,3,4,Sangat Tidak Puas
245,1,28,1,3,1,3,2,4,1,2,3,3.00,3,3,3,2000000,142.86,3,1,3,3,3,4,3,3,3,4,3,Biasa
246,1,40,1,3,1,4,4,4,2,2,4,2.00,4,4,4,2000000,142.86,4,5,4,3,2,3,2,3,3,2,3,Biasa
247,1,30,2,3,1,1,4,4,1,2,3,3.00,4,4,4,2000000,142.86,4,4,4,3,3,3,3,3,3,3,3,Biasa
248,1,45,1,5,1,3,5,5,2,2,4,2.00,4,5,5,2000000,142.86,5,4,5,3,2,3,3,3,2,3,3,Biasa
249,2,35,2,5,1,1,4,3,1,2,3,3.00,4,4,4,2000000,142.86,4,4,4,3,3,3,2,3,3,2,3,Biasa
250,1,30,1,5,1,3,4,4,2,0,2,1.00,4,4,4,1500000,107.14,4,5,4,2,3,2,3,3,3,3,3,Sangat Puas
251,1,50,1,5,1,1,5,5,2,4,6,3.00,3,3,4,3000000,214.29,5,3,3,4,4,4,4,4,4,4,4,Sangat Tidak Puas
252,2,46,1,5,1,1,4,4,2,4,6,3.00,3,3,4,3000000,214.29,5,3,3,4,4,4,4,4,4,4,4,Sangat Tidak Puas
253,1,26,5,1,1,5,5,4,2,0,2,1.00,4,5,4,1000000,71.43,4,4,4,4,2,3,2,3,2,3,2,Sangat Tidak Puas
254,2,27,1,4,1,5,5,5,2,0,2,1.00,4,5,4,1000000,71.43,4,4,4,4,2,3,2,3,2,3,2,Sangat Tidak Puas
255,1,54,1,5,1,1,5,5,1,2,3,3.00,5,4,5,5000000,357.14,5,4,5,2,3,2,3,2,3,3,3,Sangat Puas
256,2,38,1,3,1,5,4,5,2,2,4,2.00,3,3,4,1000000,71.43,4,3,3,2,3,3,3,3,3,3,3,Sangat Puas
257,1,40,1,3,1,5,4,5,1,3,4,4.00,3,3,4,1000000,71.43,4,3,3,2,2,3,2,3,3,2,3,Sangat Puas
258,1,48,1,5,1,1,5,4,1,3,4,4.00,4,5,4,2000000,142.86,4,5,4,2,3,2,3,3,3,3,3,Sangat Puas
259,1,35,1,3,1,1,4,5,1,2,3,3.00,4,4,4,3000000,214.29,4,5,4,3,3,3,2,3,2,3,2,Biasa
260,2,29,1,3,1,4,5,4,2,1,3,1.50,4,4,4,2000000,142.86,4,5,4,4,4,4,3,4,5,4,4,Sangat Tidak Puas
261,1,42,1,5,1,1,4,4,2,3,5,2.50,4,4,4,4000000,285.71,4,4,4,4,3,3,3,3,3,4,3,Sangat Tidak Puas
262,1,30,1,3,1,4,5,4,2,1,3,1.50,4,4,5,400000,28.57,4,5,4,2,3,3,2,5,2,3,2,Sangat Puas
263,1,47,1,3,1,5,4,5,2,3,5,2.50,5,4,5,2000000,142.86,4,4,5,3,2,3,2,3,2,3,3,Biasa
264,1,45,1,3,1,1,5,4,2,3,5,2.50,5,5,5,1500000,107.14,4,5,5,4,4,4,4,3,3,3,3,Sangat Tidak Puas
265,1,35,1,3,1,2,4,4,2,0,2,1.00,4,4,4,2500000,178.57,4,4,4,2,2,2,3,2,3,2,3,Sangat Puas
266,1,38,1,2,1,5,3,3,1,2,3,3.00,3,4,3,500000,35.71,3,3,4,3,3,3,3,2,3,3,3,Biasa
267,1,40,1,3,1,3,4,4,2,2,4,2.00,4,4,4,1500000,107.14,4,4,4,2,3,3,2,3,2,3,2,Sangat Puas
268,1,40,1,3,1,2,4,5,1,3,4,4.00,4,5,4,3000000,214.29,4,5,4,3,2,3,2,2,3,3,3,Biasa
269,1,40,1,3,1,3,4,4,1,3,4,4.00,4,5,4,3000000,214.29,4,4,4,3,3,2,3,3,2,3,2,Biasa
270,1,30,1,3,1,5,4,4,2,1,3,1.50,4,4,4,1500000,107.14,4,4,4,2,3,2,3,2,3,2,3,Sangat Puas
271,1,22,2,3,1,2,4,4,1,0,1,1.00,4,4,4,2800000,200.00,4,4,4,4,4,3,4,3,3,2,3,Sangat Tidak Puas
272,1,36,1,5,1,4,5,5,2,3,5,2.50,4,3,4,7000000,500.00,4,4,3,3,3,2,2,2,4,3,4,Biasa
273,1,38,1,5,1,4,4,4,1,3,4,4.00,4,4,4,3500000,250.00,4,4,4,3,3,3,3,3,4,3,3,Biasa
274,2,27,1,3,1,5,4,5,2,2,4,2.00,5,5,4,2500000,178.57,4,4,4,4,5,4,4,5,4,4,4,Sangat Tidak Puas
275,1,28,1,3,1,4,4,4,1,2,3,3.00,3,3,3,3000000,214.29,3,3,3,3,3,3,3,3,4,3,3,Biasa
276,1,45,1,3,1,3,3,3,1,4,5,5.00,3,3,4,3000000,214.29,3,3,3,3,3,3,3,3,3,4,4,Biasa
277,1,27,1,3,1,5,5,4,1,2,3,3.00,5,4,3,2300000,164.29,5,4,5,4,4,5,5,4,4,4,4,Sangat Tidak Puas
278,2,40,1,3,2,4,2,3,2,3,5,2.50,3,3,4,4000000,285.71,3,4,4,4,3,1,3,1,3,3,3,Sangat Tidak Puas
279,2,29,1,4,1,3,5,4,2,2,4,2.00,5,4,4,2200000,157.14,5,4,5,4,5,4,5,4,4,4,4,Sangat Tidak Puas
280,1,27,1,5,1,3,4,5,1,1,2,2.00,4,3,4,2000000,142.86,4,4,3,4,4,4,4,5,4,5,4,Sangat Tidak Puas
281,2,31,2,5,2,3,5,4,1,0,1,1.00,4,4,5,5000000,357.14,4,4,5,4,4,3,4,3,5,3,4,Sangat Tidak Puas
282,1,50,1,4,1,1,4,3,1,4,5,5.00,4,4,4,4000000,285.71,3,3,3,3,3,3,3,3,4,3,3,Biasa
283,2,28,1,4,1,3,4,5,2,1,3,1.50,4,4,2,2000000,142.86,4,3,4,4,3,4,4,4,4,4,3,Sangat Tidak Puas
284,1,45,1,2,1,5,4,4,3,3,6,2.00,3,4,4,1600000,114.29,4,4,5,3,3,4,4,3,4,5,4,Biasa
285,1,23,2,3,1,5,4,4,2,3,5,2.50,3,4,4,1500000,107.14,4,4,4,3,4,4,3,3,4,4,3,Biasa
286,1,24,2,3,1,5,3,3,2,2,4,2.00,3,4,4,1500000,107.14,4,4,5,3,3,4,4,3,3,3,4,Biasa
287,1,30,2,3,1,5,4,4,2,2,4,2.00,3,3,4,1500000,107.14,4,4,3,3,3,4,4,5,4,3,3,Biasa
288,1,23,2,3,1,5,3,4,2,3,5,2.50,3,4,4,1200000,85.71,4,4,4,3,4,3,3,4,4,3,4,Biasa
289,1,25,1,3,1,3,3,4,2,2,4,2.00,3,3,4,1800000,128.57,4,4,4,3,3,4,4,3,4,4,4,Biasa
290,1,40,1,2,1,5,3,4,2,2,4,2.00,3,3,4,1800000,128.57,4,4,4,3,3,3,4,4,3,3,4,Biasa
291,1,28,1,3,1,2,3,3,1,2,3,3.00,3,3,4,3000000,214.29,3,4,4,3,3,4,3,3,4,3,4,Biasa
292,1,29,2,3,1,5,3,3,2,2,4,2.00,3,4,4,1500000,107.14,4,4,3,3,4,4,3,3,4,3,3,Biasa
293,2,25,2,3,1,5,3,4,2,2,4,2.00,4,4,5,1600000,114.29,4,4,3,3,4,4,4,3,3,4,3,Biasa
294,1,30,2,3,1,5,3,3,3,2,5,1.67,3,3,4,2500000,178.57,4,4,3,3,3,4,4,3,3,3,3,Biasa
295,1,35,1,3,1,1,3,3,2,2,4,2.00,3,4,4,2500000,178.57,3,3,4,3,3,3,4,4,3,4,4,Biasa
296,2,34,1,5,1,1,4,4,2,2,4,2.00,4,4,4,2500000,178.57,4,3,4,4,2,3,3,2,3,4,4,Sangat Tidak Puas
297,1,38,1,5,1,2,4,4,1,4,5,5.00,4,4,4,3000000,214.29,4,4,5,5,2,3,3,2,3,4,4,Sangat Tidak Puas
298,1,38,1,3,1,4,4,4,1,3,4,4.00,4,4,4,1700000,121.43,4,4,3,4,4,3,4,3,4,4,5,Sangat Tidak Puas
299,1,40,1,2,1,3,4,4,1,2,3,3.00,4,4,3,2500000,178.57,4,3,4,4,3,3,4,3,2,2,4,Sangat Tidak Puas
300,1,38,1,3,1,5,4,4,3,3,6,2.00,4,4,4,2000000,142.86,4,4,4,4,4,4,4,4,4,4,4,Sangat Tidak Puas
301,1,46,1,3,1,3,4,4,4,0,4,1.00,4,4,4,2000000,142.86,4,4,4,2,3,2,2,2,2,2,2,Sangat Puas
302,1,37,1,3,1,3,3,3,1,4,5,5.00,4,3,2,1600000,114.29,4,3,4,4,3,4,4,4,4,4,4,Sangat Tidak Puas
303,1,56,1,3,1,1,4,4,3,3,6,2.00,4,4,4,3300000,235.71,4,4,4,2,2,2,2,2,2,2,2,Sangat Puas
304,1,50,1,3,1,1,4,4,1,1,2,2.00,4,4,4,2800000,200.00,3,2,1,3,2,1,1,1,2,1,1,Biasa
305,1,30,1,3,1,3,4,3,1,2,3,3.00,4,3,3,1600000,114.29,5,3,3,5,4,4,4,4,3,4,3,Sangat Tidak Puas
306,1,25,1,3,1,3,4,4,1,1,2,2.00,3,3,3,1300000,92.86,3,4,3,3,3,3,4,4,3,4,2,Biasa
307,1,56,1,3,1,4,5,5,1,1,2,2.00,4,4,3,800000,57.14,4,4,4,3,4,3,3,3,4,3,3,Biasa
308,2,23,2,4,1,3,2,3,2,1,3,1.50,4,4,3,1500000,107.14,4,3,4,4,3,2,2,2,2,3,3,Sangat Tidak Puas
309,1,35,1,5,1,5,4,4,1,3,4,4.00,3,3,3,5000000,357.14,4,3,3,4,3,3,2,2,3,4,5,Sangat Tidak Puas
310,1,37,1,2,1,4,4,3,1,2,3,3.00,4,4,3,1500000,107.14,4,3,3,4,2,3,3,2,3,4,4,Sangat Tidak Puas
311,1,40,1,5,1,1,4,4,2,1,3,1.50,4,4,4,2500000,178.57,4,3,3,4,3,3,2,2,3,2,3,Sangat Tidak Puas
312,1,37,1,2,1,4,4,4,1,3,4,4.00,4,3,4,1700000,121.43,4,4,4,4,4,3,3,3,4,4,4,Sangat Tidak Puas
313,1,38,1,1,1,4,4,4,3,5,8,2.67,4,4,4,8000000,571.43,4,4,3,4,2,2,2,2,3,4,5,Sangat Tidak Puas
314,1,29,1,2,1,4,5,4,1,3,4,4.00,5,5,5,1700000,121.43,3,3,3,5,2,2,4,1,1,1,1,Sangat Tidak Puas
315,1,28,1,3,1,3,3,3,5,1,6,1.20,3,3,3,1400000,100.00,3,3,3,3,3,3,3,3,3,3,3,Biasa
316,1,42,1,1,1,3,4,3,1,4,5,5.00,2,2,3,1500000,107.14,3,3,4,3,4,5,3,3,3,3,2,Biasa
317,2,18,2,3,1,3,4,4,1,0,1,1.00,4,4,2,1000000,71.43,4,4,4,4,5,2,4,4,4,5,3,Sangat Tidak Puas
318,1,24,2,3,1,3,5,5,2,2,4,2.00,4,4,4,2000000,142.86,4,4,4,2,2,2,2,2,2,4,4,Sangat Puas
319,2,40,4,2,1,5,3,3,1,1,2,2.00,4,4,4,1200000,85.71,4,4,4,5,3,3,3,3,3,3,3,Sangat Tidak Puas
320,1,50,3,2,1,5,4,3,2,1,3,1.50,4,4,4,1900000,135.71,4,4,4,4,3,3,3,3,3,3,4,Sangat Tidak Puas
321,1,30,1,3,1,5,4,4,1,1,2,2.00,4,4,4,1700000,121.43,4,4,4,4,3,4,4,4,3,4,4,Sangat Tidak Puas
322,1,39,1,3,1,5,2,4,1,3,4,4.00,4,4,2,1200000,85.71,4,3,4,2,5,3,5,3,3,2,3,Sangat Puas
323,1,22,2,3,1,5,4,4,1,2,3,3.00,3,3,3,1450000,103.57,4,4,3,4,3,3,3,4,4,4,3,Sangat Tidak Puas
324,1,48,1,3,3,3,4,4,1,2,3,3.00,4,4,4,2100000,150.00,4,4,4,4,4,3,3,3,4,4,4,Sangat Tidak Puas
325,2,40,4,1,1,5,4,4,1,0,1,1.00,4,4,4,800000,57.14,4,4,4,4,3,3,3,3,3,3,3,Sangat Tidak Puas
326,2,21,2,3,1,5,4,4,2,2,4,2.00,4,4,4,1100000,78.57,4,4,4,4,4,4,3,3,3,4,4,Sangat Tidak Puas
327,2,22,2,3,1,5,5,5,2,2,4,2.00,4,4,4,1100000,78.57,4,4,4,4,3,3,3,3,3,4,4,Sangat Tidak Puas
328,2,22,2,3,1,5,4,4,2,2,4,2.00,4,4,4,1200000,85.71,4,4,4,4,4,4,4,4,3,3,3,Sangat Tidak Puas
329,1,50,1,3,1,5,4,4,3,1,4,1.33,3,3,3,1400000,100.00,4,4,4,4,4,3,3,3,4,3,4,Sangat Tidak Puas
330,2,23,2,5,1,5,4,4,2,1,3,1.50,4,4,4,200000,14.29,4,3,3,3,4,4,4,3,3,3,3,Biasa
331,1,24,2,4,1,3,4,4,2,3,5,2.50,4,4,3,1300000,92.86,4,1,3,2,4,3,3,3,3,3,3,Sangat Puas
332,2,40,4,1,1,5,3,4,1,1,2,2.00,4,4,4,800000,57.14,3,3,4,2,4,2,3,3,4,4,3,Sangat Puas
333,2,25,2,3,1,5,4,4,3,1,4,1.33,4,4,4,2200000,157.14,3,3,3,4,3,3,3,3,3,3,3,Sangat Tidak Puas
334,1,22,2,2,1,5,4,4,2,1,3,1.50,4,4,3,1000000,71.43,3,3,3,3,3,3,3,3,3,3,3,Biasa
335,1,29,1,4,1,3,4,3,2,1,3,1.50,4,5,4,2000000,142.86,4,4,3,4,4,5,4,4,3,3,4,Sangat Tidak Puas
336,1,38,1,3,1,4,4,4,1,4,5,5.00,4,4,3,2000000,142.86,4,4,3,4,1,1,2,2,2,3,3,Sangat Tidak Puas
337,1,27,1,3,1,4,4,4,1,1,2,2.00,4,4,4,3000000,214.29,4,4,4,3,2,2,2,2,2,4,4,Biasa
338,2,28,1,5,1,1,4,3,2,1,3,1.50,4,4,5,1500000,107.14,4,4,3,4,3,4,3,4,3,4,3,Sangat Tidak Puas
339,1,36,1,3,1,5,4,4,1,3,4,4.00,4,3,3,1200000,85.71,4,4,4,4,4,3,3,3,3,3,3,Sangat Tidak Puas
340,1,38,1,3,1,3,4,4,2,0,2,1.00,4,4,4,1500000,107.14,4,4,4,3,4,3,4,3,3,3,4,Biasa
341,2,23,1,3,1,3,4,4,2,0,2,1.00,4,4,4,2500000,178.57,4,4,4,4,3,3,2,3,3,2,3,Sangat Tidak Puas
342,1,33,1,3,1,4,3,4,1,2,3,3.00,3,3,3,3000000,214.29,4,4,3,3,3,3,3,3,4,4,3,Biasa
343,2,45,1,6,1,1,4,5,2,3,5,2.50,3,3,4,3500000,250.00,4,4,3,4,4,4,3,3,3,3,4,Sangat Tidak Puas
344,2,40,1,4,1,1,4,4,2,2,4,2.00,4,5,4,3000000,214.29,4,5,4,4,2,2,2,3,2,3,3,Sangat Tidak Puas
345,1,29,1,3,1,5,5,4,2,1,3,1.50,3,4,4,2200000,157.14,5,4,3,4,4,4,4,4,4,4,4,Sangat Tidak Puas
346,2,28,1,3,1,4,4,5,2,2,4,2.00,4,5,4,1000000,71.43,4,3,4,4,4,5,5,4,5,4,5,Sangat Tidak Puas
347,2,19,2,3,1,3,4,4,1,0,1,1.00,4,4,5,2300000,164.29,4,3,2,4,3,3,2,3,4,4,5,Sangat Tidak Puas
348,1,25,1,3,1,2,4,5,2,0,2,1.00,4,4,5,2800000,200.00,4,4,5,4,4,4,5,4,4,5,5,Sangat Tidak Puas
349,1,30,1,2,1,4,3,4,1,2,3,3.00,3,3,4,2500000,178.57,3,3,3,3,3,3,3,3,3,3,2,Biasa
350,1,33,1,3,1,3,3,3,2,1,3,1.50,3,3,3,2000000,142.86,3,4,3,3,3,3,3,3,4,3,3,Biasa
351,2,44,1,3,1,3,5,4,2,3,5,2.50,5,4,4,4000000,285.71,4,4,3,5,4,5,4,4,4,5,4,Sangat Tidak Puas
352,1,29,1,3,1,3,4,5,1,2,3,3.00,4,4,5,2500000,178.57,4,4,5,4,4,5,4,4,4,4,4,Sangat Tidak Puas
353,1,35,1,3,1,5,4,3,2,1,3,1.50,4,3,2,1500000,107.14,4,3,4,4,3,3,4,2,3,4,2,Sangat Tidak Puas
354,1,49,1,5,1,3,4,4,1,3,4,4.00,4,4,4,3000000,214.29,4,4,4,3,3,2,3,2,3,2,3,Biasa
355,1,43,1,5,1,1,4,4,2,1,3,1.50,4,5,4,1500000,107.14,4,4,4,3,3,2,2,3,3,2,2,Biasa
356,1,48,1,3,1,4,3,3,2,3,5,2.50,4,3,3,10000000,714.29,5,4,3,3,3,3,3,4,3,3,3,Biasa
357,2,52,1,5,1,1,5,5,2,3,5,2.50,5,4,5,3000000,214.29,5,4,4,2,3,2,3,3,3,2,3,Sangat Puas
358,1,40,1,2,5,3,3,4,2,1,3,1.50,3,3,4,3000000,214.29,4,4,4,3,3,3,3,4,4,3,3,Biasa
359,1,35,1,3,1,4,3,4,1,3,4,4.00,3,3,4,3000000,214.29,4,4,3,3,3,3,3,4,3,4,4,Biasa
360,1,49,1,2,1,1,5,4,2,3,5,2.50,5,3,3,2500000,178.57,3,4,3,4,3,4,3,3,3,3,3,Sangat Tidak Puas
361,1,50,1,3,1,2,5,5,3,1,4,1.33,4,4,4,2000000,142.86,4,4,5,4,2,2,2,3,3,2,3,Sangat Tidak Puas
362,1,35,1,5,1,3,4,5,2,3,5,2.50,4,4,4,2000000,142.86,5,4,5,3,2,3,2,3,2,3,2,Biasa
363,1,40,1,2,1,5,4,4,2,2,4,2.00,4,4,4,1600000,114.29,4,4,4,3,2,3,2,3,2,3,2,Biasa
364,2,27,2,5,1,3,4,4,2,1,3,1.50,4,4,3,1000000,71.43,4,4,4,4,5,3,4,5,4,3,4,Sangat Tidak Puas
365,2,49,1,3,1,1,4,4,2,4,6,3.00,2,4,2,2600000,185.71,4,5,4,4,4,4,4,4,4,3,4,Sangat Tidak Puas
366,2,43,1,3,1,4,5,5,2,4,6,3.00,4,4,4,2500000,178.57,5,4,4,4,2,2,2,2,3,3,2,Sangat Tidak Puas
367,2,38,4,3,1,4,5,3,1,1,2,2.00,3,3,4,1000000,71.43,3,4,3,3,3,4,3,3,3,3,4,Biasa
368,2,56,1,5,1,4,4,3,2,4,6,3.00,5,3,4,1500000,107.14,3,3,3,5,3,4,3,5,3,5,3,Sangat Tidak Puas
369,1,54,1,5,1,1,5,5,3,3,6,2.00,4,5,4,4000000,285.71,5,4,5,3,2,3,3,2,3,2,3,Biasa
370,2,28,1,5,5,3,3,3,2,3,5,2.50,3,3,3,2000000,142.86,4,3,3,3,4,3,3,3,3,2,3,Biasa
371,1,40,1,3,1,5,3,3,2,2,4,2.00,3,3,3,1500000,107.14,3,3,3,4,3,4,4,3,3,3,4,Sangat Tidak Puas
372,1,40,1,3,1,4,4,4,2,2,4,2.00,4,4,4,2000000,142.86,4,5,4,3,2,3,2,3,3,2,3,Biasa
373,1,45,1,5,1,3,5,5,2,2,4,2.00,4,5,5,2000000,142.86,5,4,5,3,2,3,3,3,2,3,3,Biasa
374,1,30,1,5,1,3,4,4,2,0,2,1.00,4,4,4,1500000,107.14,4,5,4,2,3,2,3,3,3,3,3,Sangat Puas
375,2,46,1,5,1,1,4,4,2,4,6,3.00,3,3,4,3000000,214.29,5,3,3,4,4,4,4,4,4,4,4,Sangat Tidak Puas
376,2,27,1,4,1,5,5,5,2,0,2,1.00,4,5,4,1000000,71.43,4,4,4,4,2,3,2,3,2,3,2,Sangat Tidak Puas
